Geslacht,BMI,Woon,StapEst,ErvFASub1[Q],ErvFASub2[Q],ErvFA,DagZwa1,TijdZwa1[Uur],TijdZwa1[Min],DagMat1,TijdMat1[Uur],TijdMat1[Min],DagWan1,TijdWan1[Uur],TijdWan1[Min],IPAQTOT1,TijdZit1[Uur],TijdZit1[Min],Attitu[1],Attitu[2],AttituTot,SocOmg[1],SocOmg[2],SocOmgTot,ZelfEff[1],ZelfEff[2],ZelfEff[3],ZelfEff[4],ZelfEff[5],ZelfEff[6],ZelfEff[7],ZelfEff[8],ZelfEff[9],ZelfEff[10],ZelfEffTot,BeweegRichtlijn,Systeem,StapAantal[1],StapAantal[2],StapAantal[3],StapAantal[4],StapAantal[5],StapAantal[6],StapAantal[7],Comment[1],Comment[2],Comment[3],Comment[4],Comment[5],Comment[6],Comment[7],DagZwa2,TijdZwa2[Uur],TijdZwa2[Min],DagMat2,TijdMat2[Uur],TijdMat2[Min],DagWan2,TijdWan2[Uur],TijdWan2[Min],IPAQTOT2,TijdZit2[Uur],TijdZit2[Min]
Vrouw,21.0,Thuiswonend,8700.0,4.0,5.0,4.5,3.0,1.0,,5.0,0.0,45.0,7.0,0.0,30.0,3033.0,9.0,,5.0,6.0,5.5,4.0,5.0,4.5,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Zelden waar,34.0,Ja,smartphone,10239.0,9607.0,10888.0,13265.0,10716.0,11738.0,8297.0,"krachttraining, 1 uur",,,,,,"krachttraining, 1 uur",3.0,1.0,0.0,4.0,2.0,0.0,5.0,0.0,45.0,4102.5,6.0,0.0
Man,21.0,Thuiswonend,4500.0,3.0,1.0,2.0,1.0,0.0,30.0,3.0,0.0,20.0,5.0,0.0,30.0,975.0,7.0,0.0,6.0,6.0,6.0,2.0,2.0,2.0,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Zelden waar,31.0,Nee,Stappenteller op smartphone,709.0,4229.0,4562.0,1103.0,843.0,7822.0,3106.0,,,,,,,,1.0,,30.0,4.0,,20.0,4.0,,15.0,758.0,7.0,
Vrouw,19.4,Uitwonend,8000.0,6.0,5.0,5.5,3.0,1.0,45.0,7.0,0.0,30.0,6.0,0.0,10.0,3558.0,,,6.0,6.0,6.0,6.0,5.0,5.5,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Soms waar,34.0,Ja,Garmin smartwatch,16601.0,6705.0,7951.0,10313.0,5870.0,13227.0,8761.0,,,,,,,,3.0,1.0,10.0,7.0,,30.0,5.0,,25.0,2932.5,8.0,
,23.3,Uitwonend,8000.0,5.0,4.0,4.5,4.0,1.0,0.0,7.0,2.0,0.0,6.0,1.0,0.0,6468.0,7.0,0.0,7.0,7.0,7.0,3.0,4.0,3.5,Altijd waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,34.0,Ja,Iphone: StepsApp,6929.0,11049.0,7905.0,12639.0,7953.0,7726.0,15236.0,,,,,,,,3.0,,30.0,4.0,,30.0,7.0,1.0,,2586.0,6.0,
Vrouw,21.6,Thuiswonend,5000.0,4.0,5.0,4.5,2.0,0.0,30.0,3.0,0.0,30.0,5.0,0.0,45.0,1582.5,8.0,,6.0,6.0,6.0,6.0,5.0,5.5,Altijd waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Soms waar,Soms waar,Soms waar,Soms waar,30.0,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.7,Uitwonend,8000.0,7.0,7.0,7.0,3.0,2.0,,3.0,1.0,30.0,4.0,,10.0,4092.0,10.0,,7.0,7.0,7.0,5.0,5.0,5.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,35.0,Ja,Smartwatch,7683.0,6046.0,6237.0,7281.0,6876.0,6402.0,8037.0,,,,,,,,7.0,1.0,15.0,5.0,0.0,20.0,1.0,,,4600.0,,
Vrouw,18.9,Thuiswonend,4000.0,3.0,4.0,3.5,0.0,,,0.0,,,1.0,2.0,30.0,495.0,10.0,0.0,7.0,7.0,7.0,1.0,6.0,3.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,40.0,Nee,Huawei smartwatch,4170.0,5848.0,14604.0,1515.0,7780.0,11828.0,5274.0,nvt,nvt,nvt,nvt,nvt,nvt,nvt,2.0,1.0,30.0,2.0,0.0,55.0,6.0,0.0,35.0,2573.0,6.0,0.0
Vrouw,21.0,Thuiswonend,6000.0,5.0,4.0,4.5,3.0,1.0,,5.0,,20.0,7.0,,30.0,2533.0,9.0,,5.0,6.0,5.5,4.0,5.0,4.5,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,33.0,Ja,Apple watch,6567.0,11683.0,8854.0,6976.0,6921.0,5294.0,10013.0,,,,,,,,2.0,1.0,0.0,5.0,0.0,30.0,5.0,0.0,20.0,1890.0,,
Man,23.5,Thuiswonend,10000.0,7.0,7.0,7.0,7.0,2.0,,4.0,,30.0,7.0,1.0,,8586.0,6.0,,7.0,7.0,7.0,4.0,6.0,5.0,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,38.0,Ja,smartphone,12648.0,17600.0,9549.0,14519.0,2967.0,13067.0,9653.0,"judotraining, 4000, 1.5 uur","hockeytraining, 8000, 2 uur","hockeytraining, 6000, 1.5 uur",niks,"hockeywedstrijd, 10000, 2 uur",niks,"hockeytraining + judotraining, 12000, 3 uur",6.0,1.0,30.0,7.0,0.0,30.0,7.0,1.0,0.0,6546.0,6.0,0.0
Vrouw,22.0,Thuiswonend,8000.0,7.0,6.0,6.5,3.0,1.0,,6.0,1.0,,7.0,,,2880.0,7.0,,7.0,7.0,7.0,4.0,4.0,4.0,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,40.0,Ja,"Smartphone, met een stappentellerapp",1000.0,6647.0,500.0,10554.0,1000.0,10180.0,6331.0,gehele ochtend tot bijna halverwege de middag. 's middags ook gefietst (25 min) en 1 uur gesport (kunstschaatsen) zonder smartphone bij te hebben. En ook veel rondgelopen in huis zonder smartphone. ,kleinere stukjes lopen (maar telt bij elkaar natuurlijk wel op). Ook gefietst (25 minuten). ,"veel kleinere stukjes gelopen, vaak smartphone niet bijgehad. ","veel stukjes in huis rondgelopen, actief beziggeweest in huis.","smartphone is een groot deel van de dag uitgeschakeld geweest en heeft toen dus ook geen stappen geteld, dus het zullen er best wat meer zijn geweest. ",kleine stukjes in huis rondgelopen. 25 minuten fietsen. 's avonds zwemtraining (40 minuten),kleine stukjes in huis rondlopen. 25 minuten fietsen. ,3.0,1.0,,5.0,1.0,,6.0,,45.0,3531.0,7.0,
Vrouw,23.0,Uitwonend,7000.0,2.0,3.0,2.5,0.0,,,7.0,1.0,,2.0,,20.0,1812.0,5.0,,4.0,4.0,4.0,5.0,6.0,5.5,Altijd waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,Zelden waar,Soms waar,Soms waar,Soms waar,Altijd waar,32.0,Nee,Smartphone,4500.0,19500.0,5000.0,7000.0,6000.0,7500.0,5500.0,,,,,,,,2.0,1.0,,7.0,1.0,30.0,2.0,,15.0,3579.0,6.0,
Vrouw,21.0,Thuiswonend,3000.0,2.0,2.0,2.0,1.0,1.0,,3.0,3.0,,2.0,,10.0,2706.0,10.0,,5.0,5.0,5.0,4.0,5.0,4.5,Soms waar,Soms waar,Zelden waar,Soms waar,Helemaal niet waar,Helemaal niet waar,Zelden waar,Soms waar,Zelden waar,Zelden waar,22.0,Nee,smartphone,12087.0,4242.0,6469.0,5623.0,5962.0,3754.0,5240.0,,,,,,,"tennis, 1 uur",1.0,1.0,,2.0,1.0,,4.0,1.0,,1752.0,10.0,
Vrouw,22.0,Uitwonend,6000.0,3.0,3.0,3.0,2.0,0.0,30.0,4.0,1.0,0.0,7.0,0.0,20.0,1902.0,5.0,0.0,5.0,5.0,5.0,4.0,6.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,36.0,Nee,Smartphone,4037.0,4811.0,2085.0,6697.0,7017.0,11580.0,13543.0,1000,500,1000,500,500,500,1000,4.0,3.0,0.0,3.0,2.0,0.0,7.0,1.0,0.0,8586.0,5.0,0.0
Man,25.7,Uitwonend,6000.0,7.0,7.0,7.0,2.0,1.0,,3.0,2.0,,7.0,,15.0,2746.5,6.0,30.0,7.0,7.0,7.0,5.0,6.0,5.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Helemaal niet waar,Altijd waar,Soms waar,36.0,Ja,Smartphone ,9397.0,9528.0,7342.0,7304.0,10102.0,5504.0,9797.0,,,,,,,,7.0,1.0,30.0,3.0,0.0,30.0,4.0,,20.0,5664.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n.v.t.,smartphone,8710.0,9881.0,7579.0,10038.0,9619.0,9032.0,9106.0,,,,,"examentraining geven waar ik rondloop in de klas, heb 1 uur mn telefoon niet op mijn lijf gehad",,,2.0,0.0,30.0,5.0,0.0,40.0,3.0,0.0,40.0,1676.0,3.0,
Vrouw,21.5,Uitwonend,10000.0,6.0,6.0,6.0,4.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,15.0,2506.5,5.0,0.0,7.0,7.0,7.0,4.0,2.0,3.0,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,40.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,21.5,Uitwonend,5500.0,5.0,5.0,5.0,2.0,1.0,30.0,7.0,0.0,20.0,1.0,0.0,15.0,2049.5,11.0,30.0,3.0,4.0,3.5,5.0,5.0,5.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Zelden waar,35.0,Nee,Smartphone samsung galaxy S24,7587.0,5525.0,7339.0,2171.0,3181.0,4766.0,9827.0,Nee,Nee,Nee,Halfuur gewandeld,4 uur gewerkt,Nee,Nee,2.0,1.0,30.0,7.0,0.0,30.0,3.0,0.0,20.0,2478.0,10.0,0.0
Vrouw,20.9,Uitwonend,7135.0,6.0,5.0,5.5,0.0,,,4.0,,30.0,6.0,1.0,10.0,1866.0,8.0,50.0,6.0,6.0,6.0,6.0,5.0,5.5,Soms waar,Soms waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,31.0,Ja,iphone telefoon,8956.0,11611.0,13144.0,5295.0,5917.0,4044.0,10616.0,,,,,,,,0.0,,,7.0,,45.0,7.0,,30.0,1953.0,12.0,
Vrouw,21.5,Uitwonend,,4.0,3.0,3.5,0.0,,,7.0,1.0,0.0,7.0,0.0,30.0,2373.0,7.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,38.0,Nee,smartphone,4210.0,12308.0,7750.0,15824.0,11758.0,9845.0,13457.0,nee,"ja, gewandeld, 45 min",nee,nee,nee,"ja, gewandeld 30 min ",nee,3.0,0.0,45.0,4.0,0.0,45.0,7.0,0.0,30.0,2493.0,5.0,0.0
Vrouw,19.6,Thuiswonend,3000.0,7.0,7.0,7.0,3.0,3.0,0.0,3.0,1.0,0.0,7.0,2.0,0.0,7812.0,10.0,0.0,7.0,7.0,7.0,5.0,5.0,5.0,Altijd waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Soms waar,Soms waar,Soms waar,32.0,Ja,iPhone 16 pro,4351.0,4651.0,3183.0,6865.0,11842.0,132.0,1099.0,,"Turnen, 2 uur",,"Werk, 4,25 uur",,,,2.0,3.0,0.0,1.0,0.0,10.0,7.0,0.0,40.0,3844.0,10.0,30.0
,21.5,Uitwonend,8000.0,5.0,5.0,5.0,2.0,0.0,50.0,3.0,1.0,15.0,7.0,0.0,30.0,2393.0,10.0,,6.0,6.0,6.0,6.0,5.0,5.5,Soms waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,35.0,Ja,smartphonw,10549.0,13549.0,7783.0,5774.0,3882.0,14293.0,17064.0,,,,,,,,3.0,1.0,,2.0,1.0,30.0,7.0,,30.0,2853.0,10.0,
Vrouw,21.0,Thuiswonend,6000.0,0.0,2.0,1.0,0.0,,,7.0,1.0,0.0,7.0,25.0,,36330.0,7.0,,5.0,5.0,5.0,2.0,5.0,3.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,36.0,Nee,smartphone,13703.0,6554.0,7796.0,6727.0,6665.0,11612.0,5223.0,nee,nee,nee,nee,nee,"ja, werk, telefoon lag aan lader",nee,0.0,,,7.0,1.0,30.0,5.0,,20.0,2850.0,6.0,
Vrouw,20.0,Thuiswonend,6000.0,4.0,4.0,4.0,1.0,0.0,30.0,5.0,0.0,50.0,7.0,1.0,5.0,2741.5,8.0,0.0,6.0,6.0,6.0,6.0,3.0,4.5,Altijd waar,Altijd waar,Soms waar,Altijd waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,35.0,Ja,smartphone,7727.0,7030.0,6190.0,2186.0,2577.0,6776.0,6018.0,,,,,,,,0.0,,,5.0,1.0,0.0,7.0,1.0,40.0,3510.0,8.0,40.0
Man,22.8,Thuiswonend,4500.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0,1.0,30.0,7.0,0.0,30.0,3693.0,4.0,,7.0,6.0,6.5,5.0,5.0,5.0,Altijd waar,Soms waar,Zelden waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,31.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.0,Uitwonend,9000.0,3.0,4.0,3.5,1.0,1.0,,4.0,2.0,,7.0,4.0,,7944.0,6.0,,4.0,4.0,4.0,3.0,5.0,4.0,Soms waar,Altijd waar,Soms waar,Zelden waar,Zelden waar,Soms waar,Altijd waar,Soms waar,Zelden waar,Zelden waar,28.0,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,24.1,Uitwonend,9000.0,6.0,6.0,6.0,4.0,1.0,30.0,6.0,0.0,20.0,6.0,,30.0,3954.0,6.0,,7.0,7.0,7.0,6.0,5.0,5.5,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Ja,smartphone,10640.0,17586.0,15356.0,11048.0,5501.0,13827.0,7416.0,,hockeytraining van 2 uur,,een hockeywedstrijd van totaal met inlopen anderhalf uur.,,,hockeytraining van 2 uur,4.0,2.0,,5.0,0.0,30.0,5.0,0.0,40.0,5100.0,8.0,
Man,,Uitwonend,,6.0,5.0,5.5,4.0,2.0,0.0,6.0,0.0,45.0,7.0,0.0,20.0,5382.0,5.0,0.0,5.0,6.0,5.5,5.0,4.0,4.5,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,34.0,Ja,Smartphone gezondheid app,9165.0,12849.0,7866.0,13830.0,4524.0,11257.0,12017.0,"Hockeytraining, ruim 2 uur",,"Hockeytraining, 2 uur",,"Hockeywedstrijd, 2 uur",,,5.0,2.0,,3.0,,20.0,7.0,,30.0,5733.0,6.0,
Man,22.6,Thuiswonend,8000.0,5.0,5.0,5.0,4.0,1.0,45.0,1.0,5.0,,5.0,,20.0,4890.0,8.0,,7.0,7.0,7.0,2.0,5.0,3.5,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,37.0,Ja,smartphone,16265.0,9785.0,9275.0,8134.0,13448.0,9967.0,10055.0,nee,nee,"Voetbal training 1,5 uur",nee,nee,voetbal training 1 uur,nee,2.0,1.0,30.0,1.0,5.0,,7.0,,30.0,3333.0,6.0,
Man,24.9,Uitwonend,6000.0,4.0,5.0,4.5,2.0,1.0,30.0,3.0,1.0,15.0,5.0,0.0,20.0,2670.0,6.0,30.0,4.0,4.0,4.0,4.0,3.0,3.5,Soms waar,Altijd waar,Soms waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Soms waar,32.0,Ja,smartphone,9694.0,11111.0,10067.0,9262.0,12528.0,5702.0,7201.0,"voetbal training 1,5 uur",,,,,,,2.0,1.0,30.0,5.0,0.0,45.0,5.0,0.0,30.0,2835.0,5.0,30.0
Vrouw,20.0,Uitwonend,6500.0,6.0,4.0,5.0,3.0,1.0,15.0,5.0,0.0,45.0,6.0,,,2700.0,8.0,,6.0,6.0,6.0,4.0,6.0,5.0,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,34.0,Nee,smartphone,7776.0,6344.0,3424.0,4446.0,1270.0,6184.0,6923.0,,,,,,,,3.0,2.0,,5.0,,40.0,5.0,,15.0,3927.5,8.0,
Man,21.0,Uitwonend,8000.0,2.0,3.0,2.5,2.0,1.0,30.0,1.0,0.0,30.0,7.0,0.0,15.0,1906.5,4.0,0.0,6.0,6.0,6.0,2.0,6.0,4.0,Zelden waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Zelden waar,Altijd waar,Soms waar,Zelden waar,29.0,Ja,smartphone,3787.0,3093.0,2548.0,4386.0,3802.0,11011.0,4794.0,,,,1 uur lang padellen,,,,1.0,1.0,,0.0,,,7.0,,30.0,1173.0,5.0,
Man,18.8,Uitwonend,5500.0,4.0,5.0,4.5,1.0,0.0,30.0,6.0,1.0,30.0,6.0,,15.0,2697.0,7.0,,5.0,6.0,5.5,2.0,3.0,2.5,Soms waar,Altijd waar,Zelden waar,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Altijd waar,31.0,Nee,Smartphone,5958.0,9727.0,6323.0,4265.0,1690.0,5352.0,8181.0,,,,,,,,2.0,,20.0,5.0,1.0,,5.0,,30.0,2015.0,7.0,
Vrouw,21.3,Thuiswonend,5100.0,4.0,4.0,4.0,2.0,4.0,15.0,4.0,2.0,0.0,5.0,0.0,45.0,6742.5,8.0,,5.0,5.0,5.0,4.0,4.0,4.0,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Soms waar,Altijd waar,Zelden waar,Altijd waar,Zelden waar,30.0,Ja,Iphone ,11387.0,5007.0,9447.0,5004.0,1785.0,6948.0,5399.0,,,,,,,,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,30.0,3954.0,8.0,0.0
Vrouw,20.5,Thuiswonend,6000.0,3.0,4.0,3.5,2.0,0.0,40.0,5.0,0.0,30.0,3.0,1.0,,1834.0,11.0,,5.0,6.0,5.5,6.0,4.0,5.0,Soms waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,33.0,Nee,smartwatch - Garmin venu 2s,9056.0,11808.0,6747.0,3985.0,5044.0,3611.0,8513.0,nee,nee,nee,nee,nee,nee,nee,2.0,0.0,45.0,5.0,,20.0,4.0,,45.0,1714.0,10.0,
Vrouw,25.2,Uitwonend,8000.0,5.0,5.0,5.0,2.0,1.0,30.0,6.0,,40.0,5.0,,15.0,2647.5,6.0,,7.0,7.0,7.0,5.0,6.0,5.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,40.0,Ja,smartwatch en smartphone ,5723.0,6626.0,5495.0,11495.0,8312.0,6653.0,5693.0,"ja, turn training duur was 1,5 uur ",,,,,,,1.0,1.0,30.0,7.0,,20.0,2.0,5.0,,3260.0,5.0,
Man,25.6,Uitwonend,8000.0,2.0,3.0,2.5,4.0,1.0,,4.0,2.0,,7.0,,30.0,4533.0,8.0,,2.0,2.0,2.0,5.0,5.0,5.0,Zelden waar,Soms waar,Soms waar,Zelden waar,Soms waar,Zelden waar,Zelden waar,Zelden waar,Soms waar,Zelden waar,24.0,Nee,Smartphone,2500.0,361.0,1846.0,1544.0,967.0,12235.0,9965.0,Nee,Nee,Nee,Nee,Nee,Nee,Nee,2.0,1.0,,3.0,1.0,,3.0,,15.0,1828.5,6.0,
Man,17.7,Thuiswonend,6000.0,4.0,4.0,4.0,2.0,2.0,,7.0,2.0,30.0,7.0,1.0,,7506.0,10.0,,6.0,6.0,6.0,2.0,5.0,3.5,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,30.0,Ja,Smartphone,7357.0,6205.0,6438.0,6407.0,7954.0,14019.0,6967.0,,1500,,,,,,4.0,1.0,30.0,6.0,,40.0,7.0,,,3840.0,10.0,
Vrouw,20.7,Uitwonend,8000.0,4.0,5.0,4.5,2.0,1.0,30.0,5.0,0.0,30.0,7.0,2.0,,4812.0,7.0,,7.0,7.0,7.0,4.0,5.0,4.5,Soms waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,36.0,Nee,smartphone,6631.0,5153.0,6820.0,2501.0,492.0,9813.0,10104.0,,,,,,,,4.0,4.0,30.0,3.0,1.0,,3.0,,30.0,9657.0,5.0,
Vrouw,18.8,Uitwonend,10000.0,5.0,4.0,4.5,2.0,1.0,10.0,4.0,1.0,5.0,7.0,1.0,30.0,4239.0,7.0,15.0,7.0,6.0,6.5,4.0,4.0,4.0,Soms waar,Soms waar,Zelden waar,Soms waar,Altijd waar,Zelden waar,Altijd waar,Soms waar,Helemaal niet waar,Soms waar,28.0,Nee,iphone smartphone,8913.0,8200.0,10299.0,13831.0,9851.0,9625.0,11482.0,,,,,,,,0.0,,,5.0,1.0,10.0,7.0,1.0,30.0,3479.0,4.0,45.0
Vrouw,21.0,Uitwonend,7000.0,3.0,2.0,2.5,1.0,,,2.0,,,5.0,,,0.0,4.0,30.0,6.0,5.0,5.5,5.0,5.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,35.0,Nee,smartphone,4723.0,6039.0,8103.0,9128.0,8955.0,9956.0,11513.0,nee,nee,nee,nee,nee,nee,nee,2.0,,,7.0,,,7.0,,,0.0,6.0,
Vrouw,20.0,Thuiswonend,7000.0,5.0,4.0,4.5,2.0,5.0,,6.0,,30.0,5.0,,30.0,6015.0,9.0,30.0,6.0,7.0,6.5,6.0,6.0,6.0,Soms waar,Soms waar,Soms waar,Soms waar,Zelden waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,32.0,Ja,smartphone,6958.0,10718.0,5568.0,4138.0,4358.0,6429.0,6507.0,,,,,,,,1.0,2.0,0.0,5.0,1.0,30.0,5.0,0.0,20.0,3090.0,9.0,30.0
,67.8,Thuiswonend,5000.0,4.0,5.0,4.5,1.0,2.0,120.0,4.0,4.0,30.0,7.0,1.0,10.0,7857.0,8.0,,6.0,5.0,5.5,4.0,4.0,4.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,37.0,Ja,Iphone 12,7184.0,4929.0,4993.0,7587.0,908.0,7055.0,6578.0,,,,,,,,1.0,1.0,30.0,4.0,1.0,10.0,5.0,0.0,10.0,2005.0,9.0,
Man,23.5,Thuiswonend,5000.0,7.0,7.0,7.0,5.0,1.0,0.0,5.0,0.0,30.0,7.0,1.0,30.0,5079.0,10.0,0.0,6.0,7.0,6.5,5.0,5.0,5.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,36.0,Ja,Via de Samsung Health app op de Samsung S24+,4622.0,5415.0,1343.0,7129.0,1755.0,3893.0,3926.0,15min op de loopband (niveau 10),15min op de stairmaster (niveau 7),15min op de loopband (niveau 10),15min op de stairmaster (niveau 7),15min op de loopband (niveau 10),,15min op de loopband (niveau 10),6.0,1.0,0.0,7.0,0.0,30.0,7.0,1.0,0.0,5106.0,8.0,0.0
Man,23.5,Thuiswonend,8000.0,6.0,6.0,6.0,5.0,1.0,30.0,4.0,1.0,0.0,3.0,0.0,15.0,4708.5,4.0,0.0,7.0,7.0,7.0,4.0,5.0,4.5,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,37.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouw,24.5,Thuiswonend,6000.0,5.0,4.0,4.5,2.0,2.0,0.0,5.0,1.0,0.0,6.0,0.0,30.0,3714.0,9.0,0.0,6.0,6.0,6.0,5.0,5.0,5.0,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Soms waar,37.0,Ja,smartphone,5064.0,5417.0,5156.0,9184.0,4903.0,7443.0,11058.0,,1 uur loopband in sportschool en 1 uur krachttraining benen.,"0,5 uur hardlopen",,"20 min loopband in sportschool en 1,5 uur krachttraining full body workout",,,2.0,1.0,30.0,3.0,0.0,30.0,5.0,0.0,45.0,2542.5,6.0,30.0
Man,23.3,Thuiswonend,9000.0,6.0,7.0,6.5,5.0,2.0,30.0,4.0,1.0,0.0,7.0,0.0,45.0,7999.5,3.0,0.0,7.0,7.0,7.0,3.0,7.0,5.0,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,39.0,Ja,Health app ios,10720.0,7402.0,7785.0,7765.0,7043.0,11530.0,9000.0,Nee,Nee,Nee,Nee,Nee,Nee,Nee,6.0,2.0,10.0,6.0,0.0,30.0,7.0,1.0,0.0,8346.0,2.0,0.0
Man,25.5,Uitwonend,6000.0,2.0,5.0,3.5,1.0,,30.0,7.0,3.0,,7.0,1.0,,6666.0,60.0,,4.0,5.0,4.5,1.0,3.0,2.0,Soms waar,Zelden waar,Altijd waar,Zelden waar,Helemaal niet waar,Helemaal niet waar,Soms waar,Soms waar,Soms waar,Zelden waar,24.0,Nee,Apple smartphone,5057.0,7236.0,6328.0,3817.0,8178.0,4328.0,5361.0,,,,,,,,1.0,,30.0,6.0,1.0,,7.0,,45.0,2719.5,40.0,
Man,24.6,Uitwonend,,5.0,4.0,4.5,5.0,1.0,30.0,5.0,0.0,30.0,7.0,,15.0,4546.5,6.0,0.0,6.0,6.0,6.0,7.0,5.0,6.0,Soms waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,36.0,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
