Geslacht,BMI,Woon,StapEst,ErvFASub1[Q],ErvFASub2[Q],ErvFA,DagZwa1,TijdZwa1[Uur],TijdZwa1[Min],DagMat1,TijdMat1[Uur],TijdMat1[Min],DagWan1,TijdWan1[Uur],TijdWan1[Min],IPAQTOT1,TijdZit1[Uur],TijdZit1[Min],Attitu[1],Attitu[2],AttituTot,SocOmg[1],SocOmg[2],SocOmgTot,ZelfEff[1],ZelfEff[2],ZelfEff[3],ZelfEff[4],ZelfEff[5],ZelfEff[6],ZelfEff[7],ZelfEff[8],ZelfEff[9],ZelfEff[10],ZelfEffTot,BeweegRichtlijn,Systeem,StapAantal[1],StapAantal[2],StapAantal[3],StapAantal[4],StapAantal[5],StapAantal[6],StapAantal[7],Comment[1],Comment[2],Comment[3],Comment[4],Comment[5],Comment[6],Comment[7],DagZwa2,TijdZwa2[Uur],TijdZwa2[Min],DagMat2,TijdMat2[Uur],TijdMat2[Min],DagWan2,TijdWan2[Uur],TijdWan2[Min],IPAQTOT2,TijdZit2[Uur],TijdZit2[Min]
Vrouw,218.0,Thuiswonend,7000.0,4.0,5.0,4.5,3.0,1.0,30.0,6.0,1.0,30.0,7.0,1.0,0.0,5706.0,7.0,,5.0,6.0,5.5,5.0,4.0,4.5,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,35.0,Nee,Smartphone,6542.0,8151.0,8568.0,2887.0,495.0,5285.0,9224.0,,,,,"Ja, ik heb de gehele dag thuis rondgelopen maar heb mijn telefoon telkens laten liggen. Dit waren telkens maar een paar minuten dat ik stappen aan het zetten was, maar dit is wel meerdere keren op de dag voorkomen. Naar mijn schatting minstens 20 keer.",,,4.0,1.0,,5.0,6.0,,4.0,0.0,20.0,9384.0,4.0,
Man,19.7,Thuiswonend,7000.0,5.0,6.0,5.5,4.0,1.0,30.0,3.0,0.0,30.0,6.0,0.0,40.0,4032.0,6.0,0.0,7.0,6.0,6.5,4.0,6.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Soms waar,Soms waar,35.0,Nee,smartphone,1835.0,6053.0,12641.0,1843.0,3111.0,3987.0,4504.0,"ja (stappen tijdens werken horeca, 3 uur)","ja (stappen tijdens voetbaltraining, 1.5 uur)","ja (stappen tijdens werken horeca, 3 uur)","ja (stappen tijdens werken horeca, 4 uur)","ja (stappen tijdens werken horeca, 3 uur)",nee,"ja (stappen tijdens voetbalwedstrijd, 2 uur)",4.0,2.0,0.0,6.0,,,7.0,,,3840.0,7.0,0.0
Man,23.0,Thuiswonend,10000.0,5.0,5.0,5.0,3.0,2.0,0.0,4.0,1.0,,6.0,1.0,30.0,5622.0,4.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,Soms waar,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,34.0,Ja,smartphone,4674.0,7382.0,2412.0,7914.0,18700.0,6280.0,6538.0,,,,,,,,5.0,1.0,15.0,6.0,0.0,20.0,3.0,,15.0,3628.5,4.0,
,22.6,Uitwonend,10000.0,3.0,3.0,3.0,2.0,2.0,,7.0,1.0,,5.0,1.0,,4590.0,6.0,,6.0,6.0,6.0,6.0,4.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,36.0,Ja,Smartphone,9647.0,9969.0,1454.0,3906.0,3529.0,10711.0,8045.0,,"Hockeytraining, 1,5 uur",,,,,"Hockeytraining, 1,5 uur",3.0,1.0,30.0,7.0,0.0,40.0,5.0,0.0,30.0,3775.0,5.0,0.0
Vrouw,23.2,Uitwonend,7000.0,2.0,1.0,1.5,1.0,2.0,30.0,2.0,1.0,0.0,6.0,1.0,20.0,3264.0,6.0,0.0,4.0,5.0,4.5,6.0,4.0,5.0,Altijd waar,Soms waar,Soms waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Zelden waar,Soms waar,Soms waar,33.0,Nee,telefoon,6369.0,9705.0,4363.0,2816.0,3392.0,3230.0,9427.0,,,,,,,,0.0,,,3.0,5.0,0.0,3.0,0.0,30.0,3897.0,9.0,0.0
Vrouw,22.3,Uitwonend,7000.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,,20.0,6.0,,20.0,1756.0,7.0,,7.0,7.0,7.0,4.0,6.0,5.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,33.0,Nee,Smartphone,5320.0,6371.0,9505.0,9008.0,9084.0,8053.0,7212.0,,,,,,,,0.0,,,5.0,,20.0,7.0,,15.0,746.5,6.0,
Man,17.8,Thuiswonend,8500.0,3.0,2.0,2.5,0.0,,,0.0,,,4.0,,,0.0,,,4.0,5.0,4.5,,5.0,2.5,Soms waar,Altijd waar,Zelden waar,Soms waar,Zelden waar,Soms waar,Soms waar,Altijd waar,Soms waar,Altijd waar,31.0,Nee,android smartphone,4052.0,2709.0,4588.0,1644.0,1137.0,2411.0,3851.0,,,,,,,,0.0,,,0.0,,,2.0,,17.0,112.2,,
Vrouw,30.0,Uitwonend,6500.0,2.0,2.0,2.0,1.0,,,4.0,0.0,45.0,4.0,0.0,45.0,1314.0,8.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,Altijd waar,Altijd waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Soms waar,Soms waar,Soms waar,Zelden waar,29.0,Nee,Smartphone,4857.0,5468.0,5644.0,6097.0,3556.0,6019.0,9832.0,,,,,,,,0.0,,,5.0,1.0,0.0,2.0,2.0,0.0,1992.0,6.0,0.0
Man,19.5,Uitwonend,4000.0,5.0,5.0,5.0,0.0,,,6.0,0.0,25.0,2.0,,15.0,699.0,5.0,12.0,6.0,7.0,6.5,4.0,6.0,5.0,Altijd waar,Soms waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,32.0,Nee,Telefoon,4566.0,6546.0,4835.0,1721.0,2110.0,4695.0,6319.0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,2.0,1.0,30.0,6.0,0.0,20.0,2.0,0.0,12.0,1999.2,7.0,
Vrouw,20.0,Thuiswonend,7500.0,3.0,3.0,3.0,2.0,1.0,,3.0,1.0,,7.0,,45.0,2719.5,8.0,,6.0,6.0,6.0,5.0,4.0,4.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,39.0,Nee,Smartphone,4471.0,5233.0,4088.0,2683.0,7296.0,4210.0,9296.0,,,,,,,,0.0,,,3.0,,,7.0,,15.0,346.5,8.0,
Vrouw,21.5,Thuiswonend,6000.0,3.0,2.0,2.5,0.0,,,3.0,0.0,30.0,5.0,,45.0,1102.5,8.0,,4.0,6.0,5.0,4.0,3.0,3.5,Altijd waar,Soms waar,Soms waar,Zelden waar,Zelden waar,Zelden waar,Soms waar,Soms waar,Soms waar,Soms waar,28.0,Nee,telefoon,11069.0,5540.0,3605.0,2076.0,5678.0,8564.0,8104.0,,,7 uur gewerkt,10 uur gewerkt,,,,0.0,,,1.0,1.0,,5.0,1.0,,1230.0,8.0,
Man,30.0,Uitwonend,6000.0,3.0,1.0,2.0,3.0,1.0,0.0,6.0,0.0,55.0,2.0,1.0,0.0,3156.0,8.0,20.0,5.0,5.0,5.0,3.0,4.0,3.5,Soms waar,Altijd waar,Altijd waar,Soms waar,Altijd waar,Soms waar,Zelden waar,Altijd waar,Soms waar,Zelden waar,32.0,Nee,Smartphone,4492.0,9866.0,4815.0,1310.0,2600.0,3905.0,4852.0,,,"Wandelen/lopen, minimaal uur",Meerdere uren lopen (rustig tempo),,30 minuten traplopen,,0.0,,,5.0,,35.0,3.0,1.0,,1294.0,9.0,
Vrouw,22.8,Thuiswonend,9000.0,4.0,4.0,4.0,3.0,1.0,0.0,5.0,1.0,,7.0,30.0,,44220.0,4.0,,4.0,7.0,5.5,4.0,3.0,3.5,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,Altijd waar,40.0,Ja,Apple Watch,12358.0,8006.0,16430.0,6391.0,13098.0,6780.0,11340.0,Nee,Nee,Nee,Nee,Nee,Nee,Nee,4.0,0.0,45.0,3.0,,30.0,7.0,,50.0,2955.0,,200.0
